2022. 3. 1.자 청간전보년수 커트라인(중등),,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
도덕윤리,17/17(2.4),6/9(5.0),7/7(3.0),10/10(2.6),6/6(3.0),3/3(1.0),1/1(4.0),2/6(6.6),1/1(7.6),11/11(2.0),3/3(2.0),,,16/16(2.6),2/3(4.0),4/4(4.1),6/6(1.0),8/8(2.7),6/6(4.4),9/9(2.0),2/2(5.0),8/8(2.7),,,
국어,45/53(3.10),22/55(6.6),24/52(7.6),21/34(4.0),11/53(8.6),5/5(3.10),12/12(2.0),19/34(5.0),5/5(3.10),33/33(1.0),24/24(2.3),5/5(2.0),7/7(3.4),44/44(1.6),5/5(3.6),9/9(3.0),16/16(1.0),20/24(4.6),10/10(2.0),28/28(1.0),20/20(1.8),26/34(4.0),2/2(1.7),4/4(4.0),
수학,41/71(5.0),30/57(5.0),31/43(5.4),22/34(4.10),22/37(5.0),7/7(2.7),2/2(5.2),19/45(6.6),3/3(1.0),23/23(2.0),30/30(2.0),2/2(4.6),4/4(5.0),50/50(1.3),6/6(5.0),17/17(2.0),28/28(5.0),13/30(5.6),5/5(5.0),42/42(2.0),23/23(5.3),23/23(1.0),4/4(5.4),1/1(5.7),2/2(2.0)
일반사회,17/17(4.0),7/13(4.10),6/11(7.2),10/10(3.7),5/11(5.4),,,3/7(5.0),1/1(5.2),3/3(4.0),8/8(3.0),1/1(4.7),,10/10(2.7),,8/8(2.0),1/1(2.7),3/3(4.0),2/2(3.10),10/10(3.0),3/3(2.7),7/7(3.0),,1/1(4.3),
역사,12/12(3.0),14/16(4.0),15/15(4.0),8/8(1.0),6/15(5.2),1/1(4.6),2/2(3.10),11/14(5.0),1/1(3.3),8/8(2.0),9/9(2.9),1/1(1.6),,20/20(3.0),3/3(2.0),8/8(2.0),11/11(3.0),5/9(5.2),3/3(3.0),20/20(2.0),6/6(3.0),12/16(4.0),1/1(3.10),2/2(5.0),
지리,7/7(4.0),5/9(5.1),5/9(6.6),4/4(3.0),2/3(5.6),,1/1(4.10),6/10(6.6),,6/6(3.10),2/2(5.0),1/1(2.0),1/1(2.7),11/11(2.7),1/1(5.0),2/2(2.5),,8/8(3.3),,5/5(1.0),4/4(3.0),7/7(2.0),,,
통합사회,3/3(4.6),3/11(7.10),2/2(6.9),1/1(4.6),2/3(6.0),1/1(6.6),1/1(5.2),1/4(7.2),,1/1(9.0),5/5(4.10),,,2/2(3.0),,2/2(5.1),1/1(9.10),1/1(6.0),1/1(4.0),2/2(5.0),,2/2(4.0),,,
물리,13/17(4.0),13/13(4.7),9/9(5.0),7/7(1.0),4/8(7.6),3/3(2.0),3/3(6.6),4/4(5.0),,4/4(3.0),6/6(3.0),,1/1(11.0),7/7(2.0),2/2(6.0),4/4(3.0),4/4(2.0),5/5(2.7),3/3(4.0),6/6(3.10),5/5(4.6),7/7(4.0),,1/1(2.0),
화학,11/17(5.0),4/11(6.6),7/11(5.10),8/8(3.0),5/14(6.8),1/1(2.7),8/8(3.7),3/6(4.9),1/1(7.2),8/8(3.0),2/2(4.0),,2/2(8.4),11/11(4.0),3/3(6.3),2/2(3.0),3/3(2.3),8/8(3.0),2/2(5.0),9/9(2.0),4/4(4.0),7/7(3.0),,,
생물,9/17(6.0),11/19(5.0),9/10(6.0),12/12(3.0),2/7(7.6),1/1(4.0),4/4(2.7),5/5(4.0),,8/8(2.6),3/3(8.0),,2/2(4.0),12/12(3.0),1/1,1/1(7.6),,6/6(4.0),1/1(7.6),10/10(3.0),4/4(3.10),2/2(5.0),,1/1(5.0),
