"2023. 3. 1.자 청간전보년수 커트라인(중등)_보건,사서 포함",,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
도덕윤리,23/23(1.0),10/10(2.0),10/13(4.0),11/13(2.7),7/11(5.0),2/2(6.8),2/2(2.0),9/9(2.0),1/1(7.6),8/8(2.7),4/4(5.0),1/1(6.6),3/3(5.2),19/19(2.0),1/1(5.6),1/1(4.0),6/6(2.0),9/9(2.7),2/2(2.0),14/14(1.0),5/5(3.5),13/13(3.6),,1/1(7.9),
국어,52/52(1.11),38/50(4.10),26/41(7.2),41/47(3.7),16/42(6.6),5/5(1.0),9/9(4.0),7/35(9.6),7/7(4.0),27/27(2.0),30/30(1.0),,7/7(2.7),40/40(2.0),7/7(4.2),16/16(2.0),15/15(2.7),35/41(3.10),18/18(3.0),53/53(6.0),21/21(2.0),51/51(2.0),,1/1(5.0),
수학,55/73(4.4),35/47(5.0),26/46(6.1),34/34(2.0),13/54(7.0),6/6(1.0),9/9(2.0),22/38(5.2),6/6(6.0),25/25(2.0),23/23(2.0),3/3(3.10),5/5(0.3),51/51(2.0),4/4(1.0),18/18(1.2),18/18(0.10),30/31(3.10),13/13(3.0),37/37(2.6),23/23(2.0),39/41(3.0),1/1(6.6),1/1(4.0),1/1(5.9)
일반사회,13/17(4.6),5/22(8.0),,8/9(4.0),2/13(5.2),2/2(4.10),3/3(5.0),4/5(7.2),3/3(6.6),3/3(4.6),5/5(2.0),1/1(3.0),1/1(3.10),7/7(1.0),2/2(5.0),4/4(2.0),3/3(3.0),3/3(3.10),3/3(3.0),7/7(2.7),2/2(2.0),7/9(4.0),,,
역사,19/21(7.1),11/14(4.7),10/17(5.4),18/18(3.0),4/17(6.6),5/5(2.0),5/5(3.7),3/11(8.0),1/1(10.0),9/9(2.7),12/12(2.7),,1/1(4.10),13/13(3.3),,7/7(4.0),10/10(3.0),10/17(5.0),4/4(0.6),21/21(3.0),6/6(2.0),18/23(4.0),,1/1(3.7),
지리,11/11(4.0),8/9(4.0),4/5(3.6),7/7(2.7),3/9(7.6),1/1(4.0),3/3(4.0),2/5(7.6),,3/3(3.0),3/3(3.10),,1/1(7.0),5/5(3.0),2/2(3.6),4/4(4.11),2/2(4.0),1/1(4.6),1/1(2.0),13/13(2.0),3/3(5.0),6/7(5.0),,,
통합사회,6/6(4.0),4/4(4.8),1/1(6.6),4/4(2.9),,2/2(3.6),3/3(2.0),,,2/2(1.5),2/2(5.0),1/1(5.0),1/1(3.7),4/4(2.0),,1/1,1/1(4.3),3/3(4.6),2/2(6.0),3/3(3.9),,1/1(5.0),,,
물리,11/11(1.0),6/6(2.7),4/8(7.1),6/6(3.7),2/7(7.6),1/1(7.0),,6/6(5.0),1/1(9.6),8/8(3.0),1/1(4.0),,2/2(2.7),10/10(2.0),,1/1(5.6),3/3(5.0),5/5(3.10),4/4(5.0),9/9(2.7),5/5(2.0),10/10(3.0),2/2(3.10),,1/1(7.6)
화학,13/13(2.0),11/15(5.0),3/15(9.0),6/6(3.1),8/14(5.2),1/1(5.2),3/3(2.0),7/9(4.3),1/1(2.0),8/8(3.0),7/7(3.10),2/2(5.0),1/1(10.0),7/7(3.0),,4/4(2.0),5/5(3.10),5/7(5.0),4/4(10.0),9/9(3.0),2/2(4.0),8/10(4.0),,,
생물,22/24(3.0),4/16(6.9),4/7(6.3),10/10(3.6),3/5(5.2),1/1,1/1(10.1),4/5(5.0),,2/2(4.0),4/4(3.0),,1/1,9/9(3.0),1/1(2.0),3/3(2.6),5/5(4.0),7/7(1.0),2/2(5.0),11/11(2.8),3/3(2.0),6/8(4.7),,,1/1(1.0)
지구과학,20/22(3.0),8/8(3.10),3/4(9.0),3/3(1.5),4/8(5.0),3/3(3.1),3/3(3.7),2/3(10.9),,6/6(1.0),,,1/1(6.1),9/9(3.0),2/2(5.0),2/2(5.0),4/4(4.3),6/8(5.0),4/4(1.0),7/7(3.7),2/2(2.7),7/7(4.0),,,
통합과학,7/8(4.0),7/7(4.0),5/6(3.0),2/2,1/6(7.6),1/1(2.6),,2/3(5.0),,6/6(3.0),4/4(3.4),,,7/7(2.0),,1/1(4.1),2/2(6.6),,1/1(4.0),4/4(3.0),1/1(5.3),6/8(4.0),,,
체육,27/27(10.0),18/18(9.8),15/17(3.0),12/12(2.0),5/5(3.0),8/8(2.11),6/6(2.7),9/12(4.0),3/6(7.6),21/21(2.0),21/21(2.0),3/3(8.6),3/3(6.6),20/20(1.3),6/6(4.3),11/11(3.0),14/14(2.0),16/16(2.0),5/5(0.10),22/22(2.7),10/10(4.9),18/18(2.0),2/3(8.4),5/5(8.6),2/2(2.7)
음악,17/18(3.0),9/22(5.2),1/15(10.9),9/15(5.3),5/8(5.6),,4/4(1.0),6/6(2.7),,4/4(3.1),7/7(3.0),1/2(7.6),,7/7(2.7),1/1(4.6),6/6(1.0),6/6(0.9),7/8(3.0),3/3(3.0),19/19(2.0),14/14(1.0),9/10(4.0),1/1(3.0),,1/1(3.0)
미술,16/16(2.0),11/18(5.0),6/6(3.6),9/9(4.6),2/13(7.6),,4/4(2.0),7/7(1.0),2/2(2.7),9/9(1.0),11/11(1.0),,1/1(2.7),11/11(2.7),2/2(5.10),3/3(0.11),6/6(3.0),6/6(3.0),3/3(5.5),12/12(1.2),3/3(2.0),7/7(3.0),,,
한문,7/9(4.0),2/7(7.6),3/5(4.9),3/3(2.7),,1/1(12.7),,3/5(4.9),1/1(10.0),5/5(4.0),5/5(5.0),,2/2(2.0),9/10(1.0),,5/5(4.0),5/5(1.0),5/5(4.0),,7/7(1.0),4/4(3.0),4/4(3.0),,1/1(4.0),
영어,45/65(4.6),21/67(7.6),19/38(7.6),25/25(2.0),12/26(6.6),4/4(2.7),5/5(4.0),11/43(7.9),3/3(4.0),20/20(2.0),23/36(4.11),,2/2(2.7),36/36(1.6),3/3(5.7),10/10(3.0),17/17(1.0),23/23(2.6),13/13(4.0),42/42(2.3),17/17(2.7),25/33(5.0),,3/3(4.6),1/1(7.2)
일본어,8/8(1.11),4/8(10.3),1/7(3.2),6/6(4.0),,,,2/3(4.6),,1/1(3.0),3/3(3.9),,,4/4(2.0),,2/2(4.11),2/2(3.0),10/10(1.0),3/3,6/6(3.0),6/6(2.10),4/6(5.0),,,
중국어,2/4(5.4),6/18(7.0),,3/6(5.2),1/7(7.2),1/1(1.0),,1/7(7.2),,3/3(4.0),4/4(5.6),,,8/8(3.10),1/1(3.9),4/4(1.3),3/3(1.9),2/7(9.0),1/1(4.6),7/7(3.0),2/2(3.0),2/3(4.0),,,
독일어,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스어,,,,,,,,,,,,,,,,,,,,,,,,,
러시아어,,,,,,,,,,,,,,,,,,,,,,,,,
스페인어,,,,,,,,,,,,,,1/1(2.0),,,1/1(2.0),,,1/1(5.6),,,,,
아랍어,,,,,,,,,,,,,,,,,,,,,,,,,
기술가정,,,,,,,,,,,,,,,,,,,,,,,,,
기술,14/16(3.0),3/5(8.0),2/2(2.7),2/2(6.0),3/8(6.0),1/1(3.0),8/8(1.0),4/4(5.0),1/1(14.3),4/4(5.2),1/1(7.6),,3/3(2.7),5/5(4.7),1/1(10.0),4/4(3.0),4/4(0.9),4/9(6.0),1/1(3.1),7/7(4.6),4/4(1.0),8/8(4.2),1/1(7.6),,
