교과,지역,원본값,연도,배치,지원,커트라인
도덕윤리,수원,17/17(2.4),2022,17,17,2.4
국어,수원,45/53(3.10),2022,45,53,3.1
수학,수원,41/71(5.0),2022,41,71,5.0
일반사회,수원,17/17(4.0),2022,17,17,4.0
역사,수원,12/12(3.0),2022,12,12,3.0
지리,수원,7/7(4.0),2022,7,7,4.0
통합사회,수원,3/3(4.6),2022,3,3,4.6
물리,수원,13/17(4.0),2022,13,17,4.0
화학,수원,11/17(5.0),2022,11,17,5.0
생물,수원,9/17(6.0),2022,9,17,6.0
지구과학,수원,6/14(4.6),2022,6,14,4.6
통합과학,수원,6/6(2.7),2022,6,6,2.7
체육,수원,27/27(0.10),2022,27,27,0.1
음악,수원,13/16(3.10),2022,13,16,3.1
미술,수원,14/23(4.6),2022,14,23,4.6
한문,수원,3/3(5.0),2022,3,3,5.0
영어,수원,27/51(5.0),2022,27,51,5.0
일본어,수원,4/7(5.0),2022,4,7,5.0
중국어,수원,4/7(4.0),2022,4,7,4.0
독일어,수원,,2022,0,0,0.0
프랑스어,수원,,2022,0,0,0.0
러시아어,수원,,2022,0,0,0.0
스페인어,수원,,2022,0,0,0.0
아랍어,수원,,2022,0,0,0.0
기술가정,수원,,2022,0,0,0.0
기술,수원,14/15(4.0),2022,14,15,4.0
가정,수원,9/9(2.7),2022,9,9,2.7
농업,수원,,2022,0,0,0.0
임업,수원,,2022,0,0,0.0
원예,수원,,2022,0,0,0.0
조경,수원,,2022,0,0,0.0
식물자원조경,수원,3/3(4.6),2022,3,3,4.6
축산,수원,,2022,0,0,0.0
잠업,수원,,2022,0,0,0.0
동물자원,수원,,2022,0,0,0.0
식품가공,수원,1/2(7.0),2022,1,2,7.0
농토목,수원,,2022,0,0,0.0
농업기계,수원,,2022,0,0,0.0
농기계,수원,,2022,0,0,0.0
농업토목,수원,,2022,0,0,0.0
농공,수원,,2022,0,0,0.0
공업,수원,,2022,0,0,0.0
건축,수원,,2022,0,0,0.0
토목,수원,,2022,0,0,0.0
건설,수원,,2022,0,0,0.0
전기,수원,,2022,0,0,0.0
전자,수원,,2022,0,0,0.0
통신,수원,,2022,0,0,0.0
전기전자통신,수원,4/4(4.6),2022,4,4,4.6
화공,수원,,2022,0,0,0.0
섬유,수원,,2022,0,0,0.0
화공섬유,수원,,2022,0,0,0.0
금속,수원,,2022,0,0,0.0
기계,수원,,2022,0,0,0.0
재료,수원,,2022,0,0,0.0
자동차,수원,,2022,0,0,0.0
기계금속,수원,3/3(8.6),2022,3,3,8.6
환경,수원,,2022,0,0,0.0
상업정보,수원,,2022,0,0,0.0
공예,수원,,2022,0,0,0.0
디자인,수원,,2022,0,0,0.0
디자인공예,수원,4/4(2.0),2022,4,4,2.0
정보컴퓨터,수원,6/6(2.7),2022,6,6,2.7
전자계산,수원,,2022,0,0,0.0
의상,수원,,2022,0,0,0.0
철학,수원,,2022,0,0,0.0
관광,수원,,2022,0,0,0.0
요업,수원,,2022,0,0,0.0
세라믹,수원,,2022,0,0,0.0
농산물유통,수원,,2022,0,0,0.0
미용,수원,,2022,0,0,0.0
조리,수원,,2022,0,0,0.0
연극영화,수원,,2022,0,0,0.0
만화,수원,,2022,0,0,0.0
심리학,수원,,2022,0,0,0.0
진로진학상담,수원,9/9(3.0),2022,9,9,3.0
전문상담,수원,10/16(3.10),2022,10,16,3.1
특수,수원,,2022,0,0,0.0
보건,수원,,2022,0,0,0.0
사서,수원,,2022,0,0,0.0
영양,수원,,2022,0,0,0.0
교육학,수원,,2022,0,0,0.0
도덕윤리,성남,6/9(5.0),2022,6,9,5.0
국어,성남,22/55(6.6),2022,22,55,6.6
수학,성남,30/57(5.0),2022,30,57,5.0
일반사회,성남,7/13(4.10),2022,7,13,4.1
역사,성남,14/16(4.0),2022,14,16,4.0
지리,성남,5/9(5.1),2022,5,9,5.1
통합사회,성남,3/11(7.10),2022,3,11,7.1
물리,성남,13/13(4.7),2022,13,13,4.7
화학,성남,4/11(6.6),2022,4,11,6.6
생물,성남,11/19(5.0),2022,11,19,5.0
지구과학,성남,3/3(3.10),2022,3,3,3.1
통합과학,성남,5/5(3.7),2022,5,5,3.7
체육,성남,19/19(1.0),2022,19,19,1.0
음악,성남,8/23(6.6),2022,8,23,6.6
미술,성남,11/19(5.0),2022,11,19,5.0
한문,성남,5/13(6.0),2022,5,13,6.0
영어,성남,22/58(6.10),2022,22,58,6.1
일본어,성남,3/9(5.2),2022,3,9,5.2
중국어,성남,3/10(7.6),2022,3,10,7.6
독일어,성남,,2022,0,0,0.0
프랑스어,성남,,2022,0,0,0.0
러시아어,성남,,2022,0,0,0.0
스페인어,성남,,2022,0,0,0.0
아랍어,성남,,2022,0,0,0.0
기술가정,성남,,2022,0,0,0.0
기술,성남,7/7(2.6),2022,7,7,2.6
가정,성남,8/8(2.0),2022,8,8,2.0
농업,성남,,2022,0,0,0.0
임업,성남,,2022,0,0,0.0
원예,성남,,2022,0,0,0.0
조경,성남,,2022,0,0,0.0
식물자원조경,성남,,2022,0,0,0.0
축산,성남,,2022,0,0,0.0
잠업,성남,,2022,0,0,0.0
동물자원,성남,,2022,0,0,0.0
식품가공,성남,1/1(3.10),2022,1,1,3.1
농토목,성남,,2022,0,0,0.0
농업기계,성남,,2022,0,0,0.0
농기계,성남,,2022,0,0,0.0
농업토목,성남,,2022,0,0,0.0
농공,성남,,2022,0,0,0.0
공업,성남,,2022,0,0,0.0
건축,성남,,2022,0,0,0.0
토목,성남,,2022,0,0,0.0
건설,성남,,2022,0,0,0.0
전기,성남,,2022,0,0,0.0
전자,성남,,2022,0,0,0.0
통신,성남,,2022,0,0,0.0
전기전자통신,성남,4/5(7.6),2022,4,5,7.6
화공,성남,1/1(5.0),2022,1,1,5.0
섬유,성남,,2022,0,0,0.0
화공섬유,성남,2/2(4.0),2022,2,2,4.0
금속,성남,,2022,0,0,0.0
기계,성남,,2022,0,0,0.0
재료,성남,,2022,0,0,0.0
자동차,성남,,2022,0,0,0.0
기계금속,성남,2/2(4.6),2022,2,2,4.6
환경,성남,,2022,0,0,0.0
상업정보,성남,4/7(5.0),2022,4,7,5.0
공예,성남,,2022,0,0,0.0
디자인,성남,,2022,0,0,0.0
디자인공예,성남,3/3(2.6),2022,3,3,2.6
정보컴퓨터,성남,7/7(2.0),2022,7,7,2.0
전자계산,성남,,2022,0,0,0.0
의상,성남,,2022,0,0,0.0
철학,성남,,2022,0,0,0.0
관광,성남,1/1(2.0),2022,1,1,2.0
요업,성남,,2022,0,0,0.0
세라믹,성남,,2022,0,0,0.0
농산물유통,성남,,2022,0,0,0.0
미용,성남,,2022,0,0,0.0
조리,성남,,2022,0,0,0.0
연극영화,성남,,2022,0,0,0.0
만화,성남,,2022,0,0,0.0
심리학,성남,,2022,0,0,0.0
진로진학상담,성남,1/1(3.0),2022,1,1,3.0
